Id;Green_MS;Yellow_MS;Orange1_MS;Orange2_MS;Red_MS;Yellow_TE;Orange_TE;Cyan_TE;Dblue_TE;Black_TE;Green_RGB;Yellow_RGB;Orange1_RGB;Orange2_RGB;Red_RGB;Sicaklik_Ort;Sicaklik_Max;Sicaklik_Min;Nem_Ort;Nem_Max;Nem_Min;Yagis;Ruzgar_Ort;Ruzgar_Max;Gunluk_ET0;Ilaclama;Kullenme;Tarih
47;17,19683388;36,24682964;16,10001069;12,82259208;7,090260184;11,70791773;18,55625932;26,37778237;28,63824191;15,04578959;7,980992904;17,53789553;22,02171;26,21137777;23,80000975;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
48;34,80674679;37,60115289;18,17139697;9,834221927;4,908353896;12,14531346;17,9346974;25,91027662;29,17715642;15,26734073;8,637369845;15,94574084;21,37855318;27,4140694;22,96073814;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
49;17,26088535;36,31268101;16,11059586;14,72458609;6,375191748;11,75419275;18,69038319;26,82098066;29,14963857;14,95485714;11,63776907;17,04298188;21,96587245;26,9366863;23,17463481;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
50;34,18577176;35,0170697;21,41324914;10,54810185;6,814011602;10,88037665;17,72685183;27,03634335;28,67515201;13,97798019;13,30417695;16,51528688;20,9744619;27,99340984;23,55929619;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
51;18,20627275;33,1085186;19,54290754;12,67784189;6,029590096;10,89296546;18,22551213;26,52796128;29,64914158;14,90177661;8,280618698;17,33556546;22,12451921;25,62166541;22,52332257;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
52;21,26394047;38,31351676;16,93678356;15,83503146;6,958972106;11,1675043;17,88792729;26,76265627;28,71322405;15,29604976;8,917028587;17,61625376;21,45626682;27,17794537;23,27071636;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
53;29,09814464;36,35144057;25,99274959;10,78578019;5,245791853;11,24500873;18,59484104;26,33506833;29,3854745;14,53884444;8,469458617;16,5790598;22,5514342;25,67706625;22,53732394;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
54;31,40881455;34,41053096;23,28038973;9,088719698;5,653093671;10,99655722;17,93181097;26,16976454;29,47708207;15,24431116;10,98239086;17,52098875;21,82910369;26,63236632;23,45828191;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
55;28,96727491;32,63454106;26,76424662;13,04208242;7,166579187;11,64202826;17,85667572;26,80281546;28,63454196;13,93423385;8,334485166;17,00886222;22,51516409;25,92135943;22,65228638;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
56;17,4680373;35,05415444;20,5381677;11,84115469;6,011478397;11,24196611;18,12435571;26,66736699;29,11497761;14,74621018;9,93153653;16,20845401;21,42163524;26,06595139;23,81806324;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
